text,intent
मुझे मेरे घर से जूते मेरे फ्रेंड के हाँ भेजने हैं,parcel_booking
Add Kolhapuri Pav Bhaji (2 Butter Pav) to cart,order_food
what are you doing,chitchat
"I want to place an order, I want to place an order, I want to place an order, I want to place an order,",create_parcel_order
कैंसल,cancel_order
कि मुझे पार्सल बेचना है एक हुआ कि मुझे पार्सल बेचना है एक,parcel_booking
start,greeting
इसे कैंसल करो और मुझे एक पार्सल भेजना है।,cancel_order
कर दो,create_parcel_order
?,greeting
करने के लिए,login
ok,greeting
hi,greeting
hello,greeting
Hi,greeting
pick my home,parcel_booking
show mew saved address,manage_address
confirm,greeting
put my details,use_my_details
आप कैसे हो?,chitchat
documents,greeting
"hello, my name is rahul",greeting
नमस्ते,greeting
मुझे पार्सल ओर्डर प्लेस करना है।,parcel_booking
parcel,greeting
near nashik road railway station,search_product
location,greeting
"mere ghar se shoes picup karna hai and deliver karna hai 19.960170341095154, 73.77875612544705",parcel_booking
एक पार्सन बेजना है अर्जक्ट  एक पार्सन बेजना है अर्जक्ट  एक पार्सन बेजना है अर्जक्ट,parcel_booking
एक पार्सल बेशना है अर्जिंट मेरे घर से  एक पार्सल बेशना है अर्जिंट मेरे घर से,parcel_booking
raj 999999999,use_my_details
एक पार्सल भेजना है मेरे घर से पिक अप करना है और डिलिवरी एट्रिस मैं देम का भी,parcel_booking
raj 9923383838,use_my_details
हाँ,greeting
"muje college road se saaman pickup karna hai , sab se badi gadi konsi hai?",parcel_booking
Near byk college,search_product
"📍 Location shared:
Plot No.ME-38 , Sunderban Colony, Bhujbal Farm Rd, Shanti Nagar, Lekha Nagar, Nashik, Maharashtra 422009, India
Road: Bhujbal Farm Road

Coordinates: 19.970256, 73.786782",manage_address
"📍 Location shared:
ASC-42, Ashwin Nagar, Nashik, Maharashtra 422009, India
Road: Mohammed Ali Road

Coordinates: 19.960518, 73.758770",manage_address
"📍 Location shared:
Sunder Nagar Colony, 38, New, Shanti Nagar, Lekha Nagar, Nashik, Maharashtra 422009, India
Road: New

Coordinates: 19.977679, 73.776267",manage_address
कि वाइज मैं नेम राज है मैं नॉट राज मैं नेम फॉर माय अकाउंट कर दो,use_my_details
मेरे घर से पिक अप करना है और आगे डिलिवर करना है,parcel_booking
कर दो कि अ कर दो कर दो कर दो कर दो कर दो कर दो कर दो,repeat_order
एक पार्सल पिक अप करना है मेरे घर से एड्रेस मेरे घर का यूज करना और ड्रॉप करने के लिए मैं आपको एड्रेस दूंगा,parcel_booking
مجھے ایک پارسل ڈیلیوری کروانی ہے,parcel_booking
can you show me my saved address,manage_address
my address,manage_address
show me my saved address ?? do you have it or not ?,manage_address
my office,manage_address
can you share me the status of this order,track_order
Confirm,greeting
payment confirmed,parcel_booking
yes,repeat_order
kuch saaman mangwana hai,order_food
Add Khaman Dhokla to cart,add_to_cart
office,greeting
Kaise ho,chitchat
हुआ है कि अ क्योंकि यू डू फॉर में टुड़े थे हुआ था  कर दो,order_food
पाना सेकी,parcel_booking
मुझे एक parcel order place करना है अभी तुरंथ,create_parcel_order
करते हुए दिनों के लिए जाने के लिए जाने के लिए जाने के लिए.,chitchat
[respond in english] Thank you.,thanks
[respond in english] What can you do? تم کیا کر سکتے ہو؟,service_inquiry
"📍 Location shared:
Plot No.ME-38 , Sunderban Colony, Bhujbal Farm Rd, Shanti Nagar, Lekha Nagar, Nashik, Maharashtra 422009, India
Road: Bhujbal Farm Road

Coordinates: 19.977744, 73.776170",manage_address
Show me adrress book,manage_address
my saved address,manage_address
"📍 Location shared:
XQCP+4JH, Chintamani Colony, Bhagirath Sankul, Nashik, Maharashtra 422009, India
Road: Bhujbal Farm Road

Coordinates: 19.970256, 73.786782",manage_address
Raj singh 992736282,use_my_details
Order ID: #103884,track_order
"📍 Location shared:
ASC-42, Ashwin Nagar, Nashik, Maharashtra 422009, India

Coordinates: 19.960461, 73.758773",manage_address
"📍 Location shared:
799/19, Murlidhar Vajre Nagar, Govind Nagar, Old Cidco, Nashik, Maharashtra 422009, India
House/Flat: 809
Road: Ring Road

Coordinates: 19.986904, 73.775632",manage_address
Rahul 9999999999,use_my_details
मुझे एक पारसल बुक करना है जल्दी,parcel_booking
my orders status,track_order
show me address,manage_address
इस पर्संखावोड़ लिएश कनना है  इस पर्संखावोड़ लिएश कनना है  इस पर्संखावोड़ लिएश कनना है  इस पर्संखावोड़ लिएश कनना है  इस पर्संखावोड़ लिएश कनना है  इस पर्संखावोड़ लिएश कनना है,parcel_booking
put my name and number,use_my_details
"I want to place an order. मुझे एक वाटर प्लेश करना है, अभी जल्दी.",create_parcel_order
"मुझे पार्सल का ओर्डर करना है, फूड का नहीं।",parcel_booking
"मुझे पासर ओर्डर प्लेश करना है मेरे घर से, मेरे सेव डेटरिस में है।",parcel_booking
मेरे घर से मेरे शूज मनाने मुझे मेरे घर पे  मेरे घर से मेरे शूज मनाने मुझे मेरे घर पे,parcel_booking
कि मेरे घर से समान लेकर मेरे प्रेंड के हां पार्सल पहुंचाना है  कि अ  कि अ  कि अ,parcel_booking
मुझे एक पार्सल ओट प्रेस करना है अभी,parcel_booking
पिक अप एट्रेस मेरे घर का ले लेना  पिक अप एट्रेस मेरे घर का ले लेना  पिक अप एट्रेस मेरे घर का ले लेना  पिक अप एट्रेस मेरे घर का ले लेना  पिक अप एट्रेस मेरे घर का ले लेना  पिक अप एट्रेस मेरे घर का ले लेना,parcel_booking
[respond in english] پرسل آرڈر پلیس کرنا ہے,parcel_booking
"📍 Location shared:
BLOCK-A3, DWARKA SUNCREST SOCIETY, रामबाग कॉलनी, रहाटणी, पिंपरी चिंचवड, महाराष्ट्र 411017, India

Coordinates: 19.970256, 73.786782",manage_address
please help me cancel order number 12345,cancel_order
cancel order 12345,cancel_order
track my order 12345,track_order
what payment methods do you accept,service_inquiry
bike,greeting
"📍 Location shared:
Dehabhonoo Complex, Nashik Road, Nashik, Maharashtra 422006, India
Road: Bhujbal Farm Road

Coordinates: 19.972890, 73.822952",manage_address
Priya 9923383838,use_my_details
Order status,track_order
Order status 103891,track_order
103891 Order,track_order
Hello,greeting
what is the order status now,track_order
is the payment done for 103892,track_order
order 103892,repeat_order
"📍 Location shared:
ASC-42, Ashwin Nagar, Nashik, Maharashtra 422009, India
House/Flat: BE3/25/3
Road: Sambhaji Stadium Road

Coordinates: 19.960518, 73.758770",manage_address
"what can you do , can you get my shoes picked from my home and delivered to my office",parcel_booking
helllo,greeting
i m good n u,chitchat
hey,greeting
do you have my home address,manage_address
do you have any saved address?,manage_address
lets pick home some stuff,parcel_booking
"📍 Location shared:
12/464/178, Sharanpur Gaothan, Nashik, Maharashtra 422002, India
Contact: ramesh (992338388)
Type: home

Coordinates: 20.000000, 73.780000",manage_address
what can you do ?,service_inquiry
Pickup from Nashik Road near train station,parcel_booking
"Deliver to CIDCO, sector 5",manage_address
"Its a small box, about 2kg",parcel_booking
small box about 2kg,order_food
"📍 Location shared:
Nashik Road Station, Nashik
Coordinates: 20.0063, 73.7789",manage_address
"📍 Location shared:
CIDCO, Sector 5, Nashik
Coordinates: 19.9975, 73.7898",manage_address
"small box, about 2kg",order_food
"📍 Location shared:
Nashik Road Station
Coordinates: 20.0063, 73.7789",manage_address
"📍 Location shared:
CIDCO Nashik
Coordinates: 19.9975, 73.7898",manage_address
Priya 9876543210,use_my_details
small box 2kg,parcel_booking
"i need to quicky get my shoes pickup from my home and get it to badmintion court , rachna at gangapur road",parcel_booking
"📍 Location shared:
2Q84+864, Narsinha Nagar, Datey Nagar, Veer Sawarkar Nagar, Nashik, Maharashtra 422013, India
Contact: Akash Agarwal (09158886329)
Type: home

Coordinates: 20.015720, 73.755171",manage_address
call me akash,use_my_details
yeah konsi basha hai ?,chitchat
kya karsakte hai aap,search_product
What can you do,service_inquiry
Recheck login,login
I want to send my shoes to my friend,parcel_booking
"📍 Location shared:
Sunder Nagar Colony, 38, New, Shanti Nagar, Lekha Nagar, Nashik, Maharashtra 422009, India
Contact: Rajesh (9923383838)
Type: home
Road: New

Coordinates: 19.977666, 73.776278",create_parcel_order
"📍 Location shared:
ASC-42, Ashwin Nagar, Nashik, Maharashtra 422009, India
Contact: Akash (9158886329)
Type: home
Road: New

Coordinates: 19.960518, 73.758770",manage_address
I just gave it,repeat_order
I don't see any vechile,service_inquiry
Bike,greeting
i want to send a parcel to my friend,create_parcel_order
hello i want to send a parcel,create_parcel_order
i want to send a parcel to 123 main street,create_parcel_order
near kthm college,search_product
continue,greeting
bike delivery,create_parcel_order
"cbs bus stand, nashik road, nashik",manage_address
namaste,greeting
namaskar,greeting
helo,greeting
hiiii,greeting
good afternoon,greeting
good evening,greeting
sup,greeting
yo,greeting
kem cho,chitchat
kya haal,chitchat
hello ji,greeting
hii there,greeting
hey there,greeting
greetings,greeting
kya kar sakte ho,help
options,greeting
services,greeting
what services do you offer,service_inquiry
tell me about mangwale,service_inquiry
kya kya hai,chitchat
features,greeting
how does this work,chitchat
guide me,help
parcel bhejni hai,parcel_booking
delivery karni hai,parcel_booking
send something,parcel_booking
pickup and drop,parcel_booking
genie service,service_inquiry
courier chahiye,parcel_booking
mujhe parcel bhejna hai,parcel_booking
document deliver karna hai,parcel_booking
keys bhejni hai,parcel_booking
tiffin delivery,order_food
bike delivery chahiye,create_parcel_order
auto delivery,create_parcel_order
tempo booking,create_parcel_order
nashik me parcel,parcel_booking
gangapur road se college road,manage_address
good morning,greeting
mujhe madad chahiye,help
mujhe pizza khana hai,order_food
pizza chahiye,order_food
biryani mangwao,order_food
misal pav,order_food
hungry,greeting
bhook lagi hai,chitchat
dinner order,order_food
lunch karna hai,order_food
breakfast,greeting
chinese food,order_food
south indian,search_product
thali chahiye,order_food
burger,order_food
sandwich,greeting
coffee,greeting
juice,greeting
ice cream,order_food
best restaurant nearby,order_food
aap kaise ho,greeting
what's your name,chitchat
tumhara naam kya hai,greeting
are you a robot,chitchat
i'm bored,earn
momos,order_food
😀😀😀,chitchat
help me now!!!,help
stop,greeting
cbs bus stand,manage_address
i want to order pizza,order_food
add coin pizza to cart,order_food
bye,greeting
talk to support,service_inquiry
I have a complaint,complaint
store timings,service_inquiry
delivery locations,service_inquiry
hindi mein baat karo,chitchat
biryani,greeting
मुझे बिरयानी चाहिए,order_food
south indian breakfast,order_food
something quick to eat,order_food
healthy salads,order_food
cold coffee,order_food
thali combo,order_food
samosa,order_food
add first one to cart,add_to_cart
🍕🍔🍟,order_food
biryni pizzza,order_food
no wait send parcel,create_parcel_order
मुझे pizza चाहिए delivery ke liye,order_food
show me biryani options,order_food
I want to order pizza,order_food
Hi test,greeting
Bappas pav bhaji,order_food
Hello sir,greeting
Near RK,manage_address
Location send kara na,parcel_booking
Pls msg u r service,service_inquiry
Sir process sanga,manage_address
Drop Location,manage_address
Details send krra,use_my_details
📋 List Menu,search_product
Donyoubhave food items ??,order_food
Do you have c bhagat tarafhand,search_product
From which restaurant,search_product
Pickup a parcel from my home quickly,create_parcel_order
Pick up cloths from my home,parcel_booking
whats happning,chitchat
Parcel bhejna hai urgently,parcel_booking
Kaise sab,chitchat
Very good,chitchat
Share me veg restaurant near me,order_food
I want to pickup a parcel cancel this food,cancel_order
Pick up parcel from my home,parcel_booking
Parcel pickup from my home,parcel_booking
Order Food,order_food
Send Parcel,create_parcel_order
🏠 home - Sunder Nag,manage_address
I don't see any catogery,service_inquiry
📍 Pick from Map,search_product
My,greeting
Rahul 9999999923,use_my_details
mai bhut badiya,order_food
